Frame,Result,H,S,C,I,Boost,SPHY,Accepted,Sig,TS
13,111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111,0.9798,0.9959,0.9,0.0161,1.1819,90.8273,✅,d1397afebfb2261b,2026-01-18T22:27:01.871597
14,000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.9905,0.9712,0.9,0.0192,1.2224,90.8557,✅,ff31f2379e1401f4,2026-01-18T22:27:01.875370
15,111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111,0.9598,0.9599,0.9,0.0001,1.1598,90.8119,✅,08c28e29a657074a,2026-01-18T22:27:01.876214
16,111111111111111111111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111,0.9759,0.9659,0.9,0.01,1.1978,90.8385,✅,5452cec3ae5ffae4,2026-01-18T22:27:01.877522
17,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110,0.9894,0.9694,0.9,0.02,1.2474,90.8732,✅,cc595ced8b0c8eb1,2026-01-18T22:27:01.884241
19,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000,0.97,0.9637,0.9,0.0063,1.1958,90.8371,✅,215c16ff2fad4f00,2026-01-18T22:27:01.889819
20,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000,0.9951,0.9518,0.9,0.0434,1.4279,90.9995,✅,7971a26c53e0a4d2,2026-01-18T22:27:01.889950
18,111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111,0.9831,0.9721,0.9,0.011,1.2069,90.8449,✅,fccc9bc92ba38d07,2026-01-18T22:27:01.888731
21,000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000,0.9637,0.9721,0.9,0.0084,1.2127,90.8489,✅,fd0c3ff9ee5036c8,2026-01-18T22:27:01.899692
22,000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000,0.9816,0.9971,0.9,0.0156,1.244,90.8708,✅,d231942e07158946,2026-01-18T22:27:01.900723
24,111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111,0.9834,0.9865,0.9,0.0031,1.1884,90.8319,✅,772275483e217980,2026-01-18T22:27:01.902827
23,000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000,0.9861,0.9513,0.9,0.0348,1.4317,91.0022,✅,904d8cb211b657a4,2026-01-18T22:27:01.902180
26,000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.9945,0.9966,0.9,0.0021,1.1885,90.8319,✅,b85571a57cd5540f,2026-01-18T22:27:01.912621
25,111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.9775,0.954,0.9,0.0234,1.3832,90.9682,✅,35d8269c16935347,2026-01-18T22:27:01.911608
27,111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111,0.9588,0.9635,0.9,0.0047,1.2541,90.8779,✅,e601d66af0440630,2026-01-18T22:27:01.916091
28,000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000,0.9921,0.9615,0.9,0.0305,1.4902,91.0431,✅,b2c432f345f73edc,2026-01-18T22:27:01.916293
29,111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111,0.9508,0.9843,0.9,0.0334,1.4983,91.0488,✅,875a8ee26b1d2e12,2026-01-18T22:27:01.923302
30,111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111,0.978,0.972,0.9,0.006,1.2925,90.9047,✅,705f855a9ea4c62c,2026-01-18T22:27:01.925515
31,000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.9931,0.9749,0.9,0.0183,1.4222,90.9955,✅,a6b7ec013c3038df,2026-01-18T22:27:01.927905
32,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111,0.9823,0.9544,0.9,0.028,1.5529,91.087,✅,c848284b9f505971,2026-01-18T22:27:01.929319
33,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000,0.9593,0.9679,0.9,0.0085,1.359,90.9513,✅,31c448396d1c224d,2026-01-18T22:27:01.934306
34,111111111111111111111111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111,0.9858,0.9935,0.9,0.0077,1.3374,90.9362,✅,a052c09ed45724eb,2026-01-18T22:27:01.935676
35,111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.9554,0.9946,0.9,0.0392,1.674,91.1718,✅,cf1bc2a9a4c9ced5,2026-01-18T22:27:01.937093
36,000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.9691,0.955,0.9,0.0142,1.4757,91.033,✅,b2c42fb0d349923a,2026-01-18T22:27:01.941915
37,111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.9856,0.9918,0.9,0.0062,1.3576,90.9503,✅,1917750f319cf5a1,2026-01-18T22:27:01.944966
38,111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111111111111111111111111,0.9986,0.9635,0.9,0.0351,1.7481,91.2237,✅,e97ccd56317b6fd1,2026-01-18T22:27:01.947372
39,000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000,0.9544,0.9791,0.9,0.0247,1.6092,91.1265,✅,0df783255f363820,2026-01-18T22:27:01.948296
40,000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.9578,0.9718,0.9,0.014,1.5041,91.0528,✅,7a7277aec237b591,2026-01-18T22:27:01.951835
41,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000,0.9683,0.9661,0.9,0.0022,1.3722,90.9606,✅,b38012db15cfb24b,2026-01-18T22:27:01.956451
42,000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.9708,0.977,0.9,0.0061,1.4184,90.9929,✅,98c7fb77d68c399d,2026-01-18T22:27:01.958290
43,111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111,0.9567,0.9995,0.9,0.0428,1.8753,91.3127,✅,bfacc6c2445b04dc,2026-01-18T22:27:01.959304
44,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111,0.9708,0.9597,0.9,0.0111,1.5205,91.0643,✅,052b9bdd4c96df9c,2026-01-18T22:27:01.964378
46,111111111111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111,0.9767,0.9901,0.9,0.0134,1.5317,91.0722,✅,bc913083d68ab2f8,2026-01-18T22:27:01.968331
45,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000,0.9944,0.9649,0.9,0.0295,1.7886,91.252,✅,b62f4e5fc2ae6583,2026-01-18T22:27:01.968320
47,000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.9514,0.964,0.9,0.0127,1.5514,91.086,✅,7a94b3787a224c92,2026-01-18T22:27:01.971745
48,000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.9835,0.9561,0.9,0.0273,1.7943,91.256,✅,d2ed2ad846ad1338,2026-01-18T22:27:01.977274
50,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000,0.9604,0.9888,0.9,0.0284,1.7772,91.244,✅,2f62c936fd65ac00,2026-01-18T22:27:01.982389
49,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111,0.9792,0.9768,0.9,0.0023,1.3848,90.9694,✅,7f5f823033e194d5,2026-01-18T22:27:01.980624
